title,scorr,genre,running time,actors
Me and Earl and the Dying Girl (2015),74,Comedy/Drama,105 min,Thomas Mann/RJ Cyler/Olivia Cooke/Nick Offerman
The Wolfpack (2015),75,Documentary/Biography,90 min,Bhagavan Angulo/Govinda Angulo/Jagadisa Angulo/Krsna Angulo
Set Fire to the Stars (2014),49,Biography/Drama,97 min,Elijah Wood/Celyn Jones/Kelly Reilly/Steven Mackintosh
Soaked in Bleach (2015),50,Documentary/Crime,90 min,Daniel Roebuck/Sarah Scott/August Emerson/Tyler Bryan
I Am Here (2014),32,Drama/Thriller,97 min,Kim Basinger/Jordan Prentice/Sebastian Schipper/Peter Stormare
Inside Out (2015),94,Animation/Adventure/Comedy/Drama/Family/Fantasy,95 min,Amy Poehler/Bill Hader/Lewis Black/Mindy Kaling
Dope (2015),72,Comedy/Crime/Drama,103 min,Shameik Moore/Tony Revolori/Kiersey Clemons/Kimberly Elise
Infinitely Polar Bear (2014),64,Comedy/Drama/Romance,90 min,Mark Ruffalo/Zoe Saldana/Imogene Wolodarsky/Ashley Aufderheide
Manglehorn (2014),56,Drama,97 min,Al Pacino/Holly Hunter/Harmony Korine/Chris Messina
Eden (2014),82,Drama/Music,131 min,Félix de Givry/Pauline Etienne/Vincent Macaigne/Hugo Conzelmann
Gabriel (2014),67,Drama/Family/Thriller,85 min,Rory Culkin/David Call/Deirdre O'Connell/Lynn Cohen
The Overnight (2015),65,Comedy/Mystery,79 min,Adam Scott/Taylor Schilling/Jason Schwartzman/Judith Godrèche
Plemya (2014),78,Crime/Drama,126 min,Grigoriy Fesenko/Yana Novikova/Rosa Babiy/Alexander Dsiadevich
Ted 2 (2015),48,Comedy,115 min,Mark Wahlberg/Seth MacFarlane/Amanda Seyfried/Jessica Barth
Max (2015),47,Adventure/Family,111 min,Thomas Haden Church/Josh Wiggins/Luke Kleintank/Lauren Graham
A Little Chaos (2014),51,Drama/Romance,117 min,Kate Winslet/Alan Rickman/Stanley Tucci/Matthias Schoenaerts
Escobar: Paradise Lost (2014),56,Crime/Drama/Romance/Thriller,120 min,Benicio Del Toro/Josh Hutcherson/Claudia Traisac/Brady Corbet
Big Game (2014),53,Action/Adventure,90 min,Samuel L. Jackson/Onni Tommila/Ray Stevenson/Victor Garber
Batkid Begins (2015),63,Documentary/Biography/Family,87 min,Teresa Clovicko/Audrey Copper/Katie Cotton/James Coyne
The Little Death (2014),46,Comedy/Drama/Romance,96 min,Bojana Novakovic/Ben Lawson/Damon Herriman/Josh Lawson
A Murder in the Park (2014),70,Documentary/Crime/History/News,91 min,Dexter Hammett/Joseph Alex/Jason Patrick/Denny Castiglione
Felt (2014),54,Horror/Romance/Thriller,80 min,Amy Everson/Kentucker Audley/Ryan Creighton/Elisabeth Ferrara
Terminator Genisys (2015),38,Action/Adventure/Sci-Fi/Thriller,126 min,Arnold Schwarzenegger/Jason Clarke/Emilia Clarke/Jai Courtney
Magic Mike XXL (2015),60,Comedy/Drama/Music,115 min,Channing Tatum/Joe Manganiello/Matt Bomer/Adam Rodriguez
Amy (2015),85,Documentary/Biography/Music,128 min,Amy Winehouse/Mitch Winehouse/Mark Ronson/Russell Brand
Faith of Our Fathers (2015),20,Drama,96 min,David A.R. White/Kevin Downes/Stephen Baldwin/Candace Cameron Bure
Cartel Land (2015),76,Documentary/Action/Drama/War,100 min,José Manuel 'El Doctor' Mireles
Jimmy's Hall (2014),63,Drama,109 min,Barry Ward/Francis Magee/Aileen Henry/Simone Kirby
Mala Mala (2014),75,Documentary/Biography/Drama/News,87 min,Jason Carrión/Paxx Moll/Alberic Prados/Queen Bee Ho
Jackie & Ryan (2014),55,Drama/Music,90 min,Katherine Heigl/Clea DuVall/Ben Barnes/Sheryl Lee
Minions (2015),56,Animation/Comedy/Family,91 min,Sandra Bullock/Jon Hamm/Michael Keaton/Pierre Coffin
